1	25	26	2	7	6	30
2	26	3	9	8	7	1
3	27	28	4	9	2	26
4	28	5	11	10	9	3
5	29	30	6	11	4	28
6	30	1	7	12	11	5
7	1	2	8	13	12	6
8	2	9	15	14	13	7
9	3	4	10	15	8	2
10	4	11	17	16	15	9
11	5	6	12	17	10	4
12	6	7	13	18	17	11
13	7	8	14	19	18	12
14	8	15	21	20	19	13
15	9	10	16	21	14	8
16	10	17	23	22	21	15
17	11	12	18	23	16	10
18	12	13	19	24	23	17
19	13	14	20	25	24	18
20	14	21	27	26	25	19
21	15	16	22	27	20	14
22	16	23	29	28	27	21
23	17	18	24	29	22	16
24	18	19	25	30	29	23
25	19	20	26	1	30	24
26	20	27	3	2	1	25
27	21	22	28	3	26	20
28	22	29	5	4	3	27
29	23	24	30	5	28	22
30	24	25	1	6	5	29
